event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
325,1,Switzerland,away, 69' ,Substitution, Denis Zakaria , Xherdan Shaqiri 
326,1,Serbia,home, 78' ,Substitution, Filip Đuričić , Dušan Tadić 
327,1,Serbia,home, 78' ,Substitution, Nemanja Radonjić , Andrija Živković 
328,1,Serbia,home, 81' ,Yellow card, Nemanja Gudelj ,
329,1,Serbia,home, 82' ,Yellow card, Aleksandar Mitrović ,
330,1,Switzerland,away, 83' ,Substitution, Christian Fassnacht , Ruben Vargas 
331,1,Switzerland,away, 95' ,Yellow card, Granit Xhaka ,
332,1,Serbia,home, 95' ,Yellow card, Nikola Milenković ,
333,1,Switzerland,away, 96' ,Substitution, Noah Okafor , Breel Embolo 
334,1,Switzerland,away, 99' ,Yellow card, Fabian Schär ,
335,1,Serbia,home, 100' ,Yellow card, Saša Lukić ,
336,1,Cameroon,home, 6' ,Yellow card, Nouhou Tolo ,
337,1,Brazil,away, 7' ,Yellow card, Éder Militão ,
338,1,Cameroon,home, 28' ,Yellow card, Pierre Kunde ,
339,1,Cameroon,home, 32' ,Yellow card, Collins Fai ,
340,1,Brazil,away, 54' ,Substitution, Marquinhos , Alex Telles 
341,1,Brazil,away, 55' ,Substitution, Éverton Ribeiro , Rodrygo 
342,1,Brazil,away, 55' ,Substitution, Bruno Guimarães , Fred 
343,1,Cameroon,home, 64' ,Substitution, Karl Toko Ekambi , Bryan Mbeumo 
344,1,Brazil,away, 64' ,Substitution, Pedro , Gabriel Jesus 
345,1,Cameroon,home, 68' ,Substitution, Olivier Ntcham , Pierre Kunde 
346,1,Brazil,away, 79' ,Substitution, Raphinha , Antony 
347,1,Cameroon,home, 81' ,Yellow card, Vincent Aboubakar ,
348,1,Brazil,away, 85' ,Yellow card, Bruno Guimarães ,
349,1,Cameroon,home, 86' ,Substitution, Jerome Ngom Mbekeli , Moumi Ngamaleu 
350,1,Cameroon,home, 92' ,Goal, Vincent Aboubakar , Jerome Ngom Mbekeli 
351,1,Cameroon,home, 93' ,Second yellow card, Vincent Aboubakar ,
352,1,Uruguay,away, 19' ,Yellow card, Darwin Núñez ,
353,1,Ghana,home, 21' ,Missed penalty, André Ayew , Missed penalty 
354,1,Uruguay,away, 26' ,Goal, Giorgian de Arrascaeta ,
355,1,Uruguay,away, 32' ,Goal, Giorgian de Arrascaeta , Luis Suárez 
356,1,Uruguay,away, 34' ,Substitution, Matías Vecino , Rodrigo Bentancur 
357,1,Ghana,home, 45' ,Substitution, Kamaldeen Sulemana , Jordan Ayew 
358,1,Ghana,home, 45' ,Substitution, Osman Bukari , André Ayew 
359,1,Uruguay,away, 60' ,Yellow card, Luis Suárez ,
360,1,Uruguay,away, 66' ,Substitution, Nicolás de la Cruz , Facundo Pellistri 
361,1,Uruguay,away, 66' ,Substitution, Edinson Cavani , Luis Suárez 
362,1,Ghana,home, 72' ,Substitution, Antoine Semenyo , Iñaki Williams 
363,1,Ghana,home, 72' ,Substitution, Daniel-Kofi Kyereh , Salis Abdul Samed 
364,1,Uruguay,away, 80' ,Substitution, Maxi Gómez , Darwin Núñez 
365,1,Uruguay,away, 80' ,Substitution, Agustín Canobbio , Giorgian de Arrascaeta 
366,1,Ghana,home, 86' ,Yellow card, Kamaldeen Sulemana ,
367,1,Uruguay,away, 87' ,Yellow card, Sebastián Coates ,
368,1,Ghana,home, 98' ,Substitution, Abdul Fatawu Issahaku , Mohammed Kudus 
369,1,Ghana,home, 99' ,Yellow card, Alidu Seidu ,
370,1,Uruguay,away, 100' ,Yellow card, Edinson Cavani ,
371,1,Uruguay,away, 100' ,Yellow card, José Giménez ,
372,1,Portugal,away, 5' ,Goal, Ricardo Horta , Diogo Dalot 
373,1,South Korea,home, 27' ,Goal, Kim Young-gwon ,
374,1,South Korea,home, 36' ,Yellow card, Lee Kang-in ,
375,1,Portugal,away, 65' ,Substitution, João Palhinha , Matheus Nunes 
376,1,Portugal,away, 65' ,Substitution, Rafael Leão , Rúben Neves 
377,1,Portugal,away, 65' ,Substitution, André Silva , Cristiano Ronaldo 
378,1,South Korea,home, 66' ,Substitution, Hwang Hee-chan , Lee Jae-sung 
379,1,South Korea,home, 81' ,Substitution, Son Jun-ho , Kim Young-gwon 
380,1,South Korea,home, 81' ,Substitution, Hwang Ui-jo , Lee Kang-in 
381,1,Portugal,away, 81' ,Substitution, Bernardo Silva , Vitinha 
382,1,Portugal,away, 82' ,Substitution, William Carvalho , João Mário 
383,1,South Korea,home, 91' ,Goal, Hwang Hee-chan , Son Heung-min 
384,1,South Korea,home, 92' ,Yellow card, Hwang Hee-chan ,
385,1,South Korea,home, 93' ,Substitution, Cho Yu-min , Cho Gue-sung 
386,1,Spain,away, 11' ,Goal, Álvaro Morata , César Azpilicueta 
387,1,Japan,home, 39' ,Yellow card, Ko Itakura ,
388,1,Japan,home, 44' ,Yellow card, Shogo Taniguchi ,
389,1,Japan,home, 45' ,Yellow card, Maya Yoshida ,
390,1,Japan,home, 45' ,Substitution, Ritsu Dōan , Takefusa Kubo 
391,1,Spain,away, 45' ,Substitution, Dani Carvajal , César Azpilicueta 
